title	sample	gender	age
CAP27WGS_MS001	MS240000001	M	44
CAP27WGS_MS002	MS240000002	M	50
CAP27WGS_MS004	MS240000004	M	52
CAP27WGS_MS007	MS240000007	M	30
CAP27WGS_MS008	MS240000008	F	42
CAP27WGS_MS009	MS240000009	F	54
CAP27WGS_MS010	MS240000010	M	64
CAP27WGS_MS011	MS240000011	M	52
CAP27WGS_MS014	MS240000014	M	47
CAP27WGS_MS015	MS240000015	M	55
CAP27WGS_MS018	MS240000018	M	24
CAP27WGS_MS019	MS240000019	M	45
CAP27WGS_MS020	MS240000020	M	39
CAP27WGS_MS023	MS240000023	M	50
CAP27WGS_MS026	MS240000026	M	42
CAP28_MS006	MS240000006	F	73
CAP28_MS012	MS240000012	M	52
CAP28_MS013	MS240000013	M	49
CAP28_MS016	MS240000016	M	61
CAP28_MS021	MS240000021	M	51
CAP28_MS022	MS240000022	M	59
CAP28_MS025	MS240000025	M	37
CAP28_MS027	MS240000027	M	52
CAP28_MS028	MS240000028	M	46
CAP28_MS030	MS240000030	M	49
CAP28_MS031	MS240000031	M	55
CAP28_MS033	MS240000033	M	57
CAP28_MS035	MS240000035	M	29
CAP29WGS_MS038	MS240000038	M	52
CAP29WGS_MS040	MS240000040	M	54
CAP29WGS_MS041	MS240000041	M	53
CAP29WGS_MS042	MS240000042	M	36
CAP29WGS_MS044	MS240000045	F	56
CAP30_MS044R	MS240000044	M	41
CAP31_MS005	MS240000005	M	60
CAP31_MS017	MS240000017	M	43
CAP31_MS032	MS240000032	M	51
CAP31_MS036	MS240000036	M	61
CAP31_MS037	MS240000037	M	47
CAP31_MS046	MS240000046	M	48
CAP31_MS047	MS240000047	M	51
CAP31_MS049	MS240000049	M	51
CAP31_MS050	MS240000050	M	54
CAP31_MS051	MS240000051	F	51
CAP31_MS053	MS240000053	M	45
CAP31_MS054	MS240000054	F	39
CAP31_MS056	MS240000056	F	65
CAP31_MS057	MS240000057	M	36
CAP31_MS058	MS240000058	F	55
CAP31_MS059	MS240000059	M	52
CAP31_MS062	MS240000062	M	42
CAP31_MS063	MS240000063	M	44
CAP31_MS064	MS240000064	F	53
CAP31_MS066	MS240000066	F	57
CAP32_MS068	MS240000068	F	60
CAP32_MS070	MS240000070	M	35
CAP32_MS071	MS240000071	F	54
CAP32_MS072	MS240000072	F	33
CAP32_MS073	MS240000073	F	52
CAP32_MS074	MS240000074	F	42
CAP32_MS075	MS240000075	F	26
CAP32_MS076	MS240000076	F	49
CAP32_MS077	MS240000077	F	28
CAP32_MS078	MS240000078	F	35
CAP32_MS080	MS240000080	M	38
CAP32_MS084	MS240000084	M	59
CAP32_MS086	MS240000086	F	31
CAP32_MS087	MS240000087	M	31
CAP32_MS088	MS240000088	F	40
CAP32_MS091	MS240000091	F	34
CAP32_MS093	MS240000093	F	20
CAP33_MS003	MS240000003	M	34
CAP33_MS043	MS240000043	F	36
CAP33_MS048	MS240000048	M	39
CAP33_MS052	MS240000052	F	52
CAP33_MS065R	MS240000065	M	41
CAP33_MS067R	MS240000067	F	50
CAP33_MS069	MS240000069	M	29
CAP33_MS079R	MS240000079	F	55
CAP33_MS081R	MS240000081	M	62
CAP33_MS099	MS240000099	M	30
CAP33_MS108	MS240000108	F	61
CAP33_MS118	MS240000118	M	43
CAP33_MS132	MS240000132	F	24
CAP34_MS082	MS240000082	M	30
CAP34_MS083	MS240000083	F	41
CAP34_MS101	MS240000101	F	28
CAP34_MS102	MS240000102	M	54
CAP34_MS109	MS240000109	F	64
CAP34_MS111	MS240000111	F	42
CAP34_MS114	MS240000114	F	26
CAP34_MS115	MS240000115	M	67
CAP34_MS119	MS240000119	F	26
CAP34_MS126	MS240000126	F	28
CAP34_MS128	MS240000128	F	28
CAP34_MS138	MS240000138	F	46
CAP35WGS_MS100	MS240000100	M	29
CAP35WGS_MS103	MS240000103	F	30
CAP35WGS_MS106	MS240000106	M	30
CAP35WGS_MS107	MS240000107	M	42
CAP35WGS_MS113	MS240000113	M	30
CAP35WGS_MS116	MS240000116	M	28
CAP35WGS_MS120	MS240000120	M	68
CAP35WGS_MS123	MS240000123	F	69
CAP35WGS_MS127	MS240000127	M	61
CAP35WGS_MS131	MS240000131	M	29
CAP35WGS_MS141	MS240000141	F	38
CAP35WGS_MS143	MS240000143	M	28
CAP35WGS_MS144	MS240000144	F	25
CAP36_MS055RR	MS240000055	M	69
CAP36_MS060	MS240000060	F	31
CAP36_MS090RR	MS240000090	M	40
CAP36_MS092RR	MS240000092	F	32
CAP36_MS094R	MS240000094	M	30
CAP36_MS095R	MS240000095	M	32
CAP36_MS096R	MS240000096	F	20
CAP36_MS097R	MS240000097	F	27
CAP36_MS098R	MS240000098	F	36
CAP36_MS110R	MS240000110	F	54
CAP36_MS122R	MS240000122	M	25
CAP36_MS139R	MS240000139	M	31
CAP37WGS_MS129R	MS240000129	M	28
CAP37WGS_MS151	MS240000151	F	62
CAP37WGS_MS154	MS240000154	M	67
CAP37WGS_MS155	MS240000155	F	32
CAP37WGS_MS156	MS240000156	F	32
CAP37WGS_MS157	MS240000157	M	37
CAP37WGS_MS159	MS240000159	M	50
CAP37WGS_MS162	MS240000162	M	29
CAP37WGS_MS163	MS240000163	F	43
CAP37WGS_MS164	MS240000164	F	34
CAP37WGS_MS166	MS240000166	M	51
CAP37WGS_MS167	MS240000167	F	37
CAP37WGS_MS169	MS240000169	M	44
CAP37WGS_MS171	MS240000171	M	34
CAP37WGS_MS172	MS240000172	F	27
CAP37WGS_MS174	MS240000174	M	25
CAP37WGS_MS175	MS240000175	M	46
CAP37WGS_MS176	MS240000176	M	49
CAP37WGS_MS178	MS240000178	M	43
CAP37WGS_MS180	MS240000180	F	60
