,horvath2013,dnamphenoage,grimage,skinandblood,pchorvath2013,zhangblup
2,32.94964850047104,24.064118619695037,11.66136362346624,16.537330561030316,12.056420839454105,6.801775594986252
3,31.09330745279079,23.69049304618889,,,,
4,,,11.29972838331916,17.259543056136714,9.785141408269581,5.03626244456934
6,11.332662264914152,18.049421151199255,,,,
7,,,,19.812831505098973,8.80320817143285,4.791632632592525
8,,,12.57631313572047,,,
12,9.239570808996575,16.966821911948763,,,,
13,,,,,9.739840842036088,
14,,,,9.144531654553955,,3.7773363711211876
15,,,15.189233606728159,,,
18,9.758176768350497,12.81757431108162,,,,
20,,,,7.194899444664793,9.849428362858626,
21,,,,,,3.902970419111154
22,,,16.739691821629865,,,
23,5.794724562542509,,,,,
24,,13.777695151159726,,,,
26,,,,,10.006116939371323,
27,,,,7.722623119429857,,
28,,,,,,3.9214466988220957
29,6.082964439121818,,16.639131584573164,,,
30,7.018466020381023,12.43546883738165,,,,
30,7.018466020381023,12.356795304007989,,,,
33,,,,,10.099621622974876,
34,,,,8.16648398886079,11.328527706444396,
35,,,,,,3.5649508507776355
36,,,17.118403755753143,,,
37,,,16.041539200312553,6.409204008744583,,5.024930480319033
40,5.248806112861962,,,,,
41,,10.270545087166411,,,,
46,5.971212419508515,,,,9.736047526223953,
47,,9.421726235816156,,8.795724615914237,,
48,,,,,,3.9133479810580285
50,,,16.962450938493,,,
52,5.8703745034712655,,,,9.749771802469468,
53,,10.309979115325497,,,,
54,,,,8.770752969835161,,
55,,,,,,3.6878937326858447
57,5.999723623656336,,16.634506153148315,,,
58,,9.202714911137438,,,9.75559140548476,
61,,,,8.112023722556646,,
62,,,,,,3.659054897523435
64,,,16.475365916963234,,9.838989763836121,
67,,,,7.64751578692795,,
68,,,,,,3.5011651809621194
71,,,16.111947692765895,,,
